YEAR	MONTH	DAY	HOUR	MIN	SEC	RLOC	LAT	LON	DEPTH	MAG	TYPMAG	REGION	RNG_MAG
2017	1	1	1	28	31.8	L	10.875	-62.171	102.3	3.5	Mw	oriente	[3, 4)
2017	1	1	2	30	 1.0	L	8.267	-61.654	5	3.5	Mw	oriente	[3, 4)
2017	1	1	6	15	16.6	R	6.769	-73.178	168.1	4	Mw	occidente	[4, 5)
2017	1	2	3	38	26.6	L	10.183	-62.983	5	4.1	Mw	oriente	[4, 5)
2017	1	2	6	7	47.7	L	10.418	-69.452	5	2.2	Mw	occidente	[0, 3)
2017	1	2	21	37	57.4	L	9.958	-71.914	35.3	2.6	Mw	occidente	[0, 3)
2017	1	3	5	4	21.8	L	10.366	-69.724	5	2.5	Mw	occidente	[0, 3)
2017	1	3	10	18	46.0	L	10.434	-71.693	35.1	2.8	Mw	occidente	[0, 3)
2017	1	3	20	25	57.3	R	6.799	-73.162	164.7	4.1	Mw	occidente	[4, 5)
2017	1	3	22	6	26.0	R	6.798	-73.173	165.6	3.4	Mw	occidente	[3, 4)
2017	1	3	22	36	55.4	L	8.695	-71.243	5	2.7	Mw	occidente	[0, 3)
2017	1	3	22	44	52.6	R	6.827	-73.164	169.2	3.3	Mw	occidente	[3, 4)
2017	1	3	23	44	55.8	R	6.835	-73.159	169.7	3	Mw	occidente	[3, 4)
2017	1	4	1	34	11.9	L	10.465	-67.641	5.4	1.8	Mw	centro	[0, 3)
2017	1	4	2	37	17.8	L	10.468	-67.663	8	1.7	Mw	centro	[0, 3)
2017	1	4	5	28	25.8	R	6.846	-73.206	158.2	3.3	Mw	occidente	[3, 4)
2017	1	4	9	11	10.2	L	8.613	-70.79	2.5	2.6	Mw	occidente	[0, 3)
2017	1	4	9	41	23.3	R	6.782	-73.18	169	3.7	Mw	occidente	[3, 4)
2017	1	4	9	59	20.3	R	6.592	-73.439	123.9	3.3	Mw	occidente	[3, 4)
2017	1	4	10	28	23.3	L	8.435	-71.407	5	2.4	Mw	occidente	[0, 3)
2017	1	4	11	52	58.2	R	5.515	-73.649	157.1	3.8	Mw	occidente	[3, 4)
2017	1	4	15	15	 8.4	R	6.825	-73.177	171.6	3	Mw	occidente	[3, 4)
2017	1	4	18	20	13.5	L	10.151	-70.074	1.5	3.4	Mw	occidente	[3, 4)
2017	1	4	19	58	 9.6	L	8.507	-71.809	5	3.7	Mw	occidente	[3, 4)
2017	1	4	22	28	 1.5	R	7.133	-73.435	132.3	4	Mw	occidente	[4, 5)
